"DONE","ID","ISO","country","name_1","name_2","abbr_1","founded","website","Facebook","Twitter","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
1,10292,"KAZ","Kazakhstan","Foundation for Support of Civil Initiatives",NA,"FSCI",2016,"https://cisc.kz/","https://www.facebook.com/cisc.kz/",NA,"0","0",NA,NA,"0","0",NA,NA,NA,"0",NA,NA,NA,NA,"0","0",NA,"0",NA,NA,NA,"0","0",NA,NA,"0","1",NA,NA,"DK",NA,"1"
1,10293,"KAZ","Kazakhstan","Kazakhstan International Bureau for Human Rights","Казахстанское международное бюро по правам человека и соблюдению законности","KIBHR",1992,"http://www.bureau.kz","https://www.facebook.com/pages/%D0%9A%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD%D1%81%D0%BA%D0%BE%D0%B5-%D0%BC%D0%B5%D0%B6%D0%B4%D1%83%D0%BD%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D0%BE%D0%B5-%D0%B1%D1%8E%D1%80%D0%BE-%D0%BF%D0%BE-%D0%BF%D1%80%D0%B0%D0%B2%D0%B0%D0%BC-%D1%87%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D0%BA%D0%B0-%D0%B8-%D1%81%D0%BE%D0%B1%D0%BB%D1%8E%D0%B4%D0%B5%D0%BD%D0%B8%D1%8E-%D0%B7%D0%B0%D0%BA%D0%BE%D0%BD%D0%BD%D0%BE%D1%81%D1%82%D0%B8/133405506676397","https://twitter.com/bureau_kz?lang=en","0","0",NA,NA,"DK","DK",NA,NA,NA,"1",NA,NA,NA,NA,"1","1",NA,"DK",NA,NA,NA,"1","1",NA,NA,"1","1",NA,NA,"1",NA,"1"
1,10295,"KAZ","Kazakhstan","Public Foundation ""Liberty""","общественного фонда “Либерти”",NA,2005,"https://erkindikqanaty.com/en-about",NA,NA,"0","0",NA,NA,"0","0",NA,NA,NA,"0",NA,NA,NA,NA,"0","0",NA,"0",NA,NA,NA,"0","0",NA,NA,"0","1",NA,NA,"1",NA,"1"
1,10296,"KAZ","Kazakhstan","Republican Network of Independent Monitors","Республиканская Сеть Независимых Наблюдателей (PCHH)","RNIM",1999,"http://www.rsnn.kz/",NA,NA,"0","0",NA,NA,"0","0",NA,NA,NA,"1",NA,NA,NA,NA,"1","1",NA,"1",NA,NA,NA,"DK","1",NA,NA,"DK","DK",NA,NA,"DK",NA,"1"
1,10300,"KEN","Kenya","Centre for Literacy and Community Development",NA,NA,2011,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,NA
1,10301,"KEN","Kenya","Election Observation Group",NA,"ELOG",2010,"http://www.elog.or.ke/","https://www.facebook.com/ElectionObservationGroupKENYA/",NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA
1,10302,"KEN","Kenya","Institute for Education in Democracy",NA,"IED",1993,"http://www.iedafrica.org/","https://www.facebook.com/IED-Africa-253067668099374/",NA,NA,NA,"0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA
1,10305,"KEN","Kenya","National Council of Churches in Kenya",NA,"NCCK",1913,"www.ncck.org","https://www.facebook.com/ncckkenya/",NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA
1,10309,"KWT","Kuwait","Kuwait Transparency Society","جمعية الشفافية الكويتية",NA,2006,"http://www.transparency.org.kw/",NA,NA,"0",NA,"0",NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,"0",NA,NA,"1",NA,"1","1",NA,NA,"1","1",NA,NA,"0",NA,NA,NA,"1",NA
1,10310,"KGZ","Kyrgyzstan","Association ""Taza Shailoo""","Ассоциация «Таза Шайлоо»",NA,2008,"http://www.tazashailoo.kg/",NA,NA,"0","0",NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,"1",NA,"1","1","1",NA,NA,NA,"1",NA,"1",NA,NA,"1","1"
1,10312,"KGZ","Kyrgyzstan","Center ""Interbilim""",NA,"CIB",1994,"https://interbilim.kg/","https://web.facebook.com/interbilimngo/",NA,"0","0",NA,NA,NA,"DK",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1",NA,"1","1","1",NA,NA,NA,"1",NA,"1",NA,NA,"1","1"
